iD,  NAme , AgE      ,BIRTHDATE
1,"Morgan, Alex",29,03/14/1996
2 ,"Patel, Jamie",41,11/02/1984
3A,"Nguyen, Chris",22,07/19/2003
004,"Smith John",34,01/09/1991
5,"  alex   morgan  ",29,03/14/1996
6,"Garcia, Maria",55,12/30/1969
7,"Chen Li",18,08/21/2006
8,"O'Neil, Shaun",44,05/17/1980
9,"Brown, Taylor",121,06/06/1901
10,"White Casey",0,04/04/2020
11,"Johnson, Pat",27,1997/09/13
1,"Lopez, Ana",33,09-25-1991
13,"Khan Amir",39,02/30/1985
14,"Patel, Jamie",41,11/02/1984
015,"Morgan, Alex",29,03/14/1996
16,"Nguyen Chris",22,07/19/2003
17,"Martinez, Sofia",28,10/12/1995
18,"ANDERSON JAKE",31,03/03/1993
019,"Lee, Min-Jae",26,07/07/1998
020,a020,"Kim, Yuna",19,12/01/2005
